type;start_date;zipcode;visitation_sum;year
indoor;2019-06-01;77078;4830;2019
indoor;2019-06-01;77079;369889;2019
indoor;2019-06-01;77080;173260;2019
indoor;2019-06-01;77081;103542;2019
indoor;2019-06-01;77082;317331;2019
indoor;2019-06-01;77083;151237;2019
indoor;2019-06-01;77084;2327859;2019
indoor;2019-06-01;77085;525;2019
indoor;2019-06-01;77086;2287;2019
indoor;2019-06-01;77087;41095;2019
indoor;2019-06-01;77088;9819;2019
indoor;2019-06-01;77089;235258;2019
indoor;2019-06-01;77090;420031;2019
indoor;2019-06-01;77091;1255;2019
indoor;2019-06-01;77092;261011;2019
indoor;2019-06-01;77093;6226;2019
indoor;2019-06-01;77094;27578;2019
indoor;2019-06-01;77095;449235;2019
indoor;2019-06-01;77096;278476;2019
indoor;2019-06-01;77098;274269;2019
indoor;2019-06-01;77099;1404617;2019
indoor;2019-07-01;77002;61091893;2019
indoor;2019-07-01;77003;280187;2019
indoor;2019-07-01;77004;1714710;2019
indoor;2019-07-01;77005;4755993;2019
indoor;2019-07-01;77006;631179;2019
indoor;2019-07-01;77007;640253;2019
indoor;2019-07-01;77008;415640;2019
indoor;2019-07-01;77009;89632;2019
indoor;2019-07-01;77010;0;2019
indoor;2019-07-01;77011;0;2019
indoor;2019-07-01;77012;22449;2019
indoor;2019-07-01;77013;372;2019
indoor;2019-07-01;77014;87148;2019
indoor;2019-07-01;77015;78030;2019
indoor;2019-07-01;77016;2745;2019
indoor;2019-07-01;77017;12930;2019
indoor;2019-07-01;77018;215783;2019
indoor;2019-07-01;77019;1403158;2019
indoor;2019-07-01;77020;18184;2019
indoor;2019-07-01;77021;9647;2019
indoor;2019-07-01;77022;38820;2019
indoor;2019-07-01;77023;15932;2019
indoor;2019-07-01;77024;2523959;2019
indoor;2019-07-01;77025;44699;2019
indoor;2019-07-01;77026;5067;2019
indoor;2019-07-01;77027;1315095;2019
indoor;2019-07-01;77028;2887;2019
indoor;2019-07-01;77029;108396;2019
indoor;2019-07-01;77030;9840812;2019
indoor;2019-07-01;77031;45109;2019
indoor;2019-07-01;77032;55542;2019
indoor;2019-07-01;77033;0;2019
indoor;2019-07-01;77034;282749;2019
indoor;2019-07-01;77035;6402;2019
indoor;2019-07-01;77036;304750;2019
indoor;2019-07-01;77037;32203;2019
indoor;2019-07-01;77038;0;2019
indoor;2019-07-01;77039;16359;2019
indoor;2019-07-01;77040;239188;2019
indoor;2019-07-01;77041;116716;2019
indoor;2019-07-01;77042;533871;2019
indoor;2019-07-01;77043;2817805;2019
indoor;2019-07-01;77044;20024;2019
indoor;2019-07-01;77045;2254;2019
indoor;2019-07-01;77046;81064;2019
indoor;2019-07-01;77047;145121;2019
indoor;2019-07-01;77048;650;2019
indoor;2019-07-01;77049;0;2019
indoor;2019-07-01;77050;0;2019
indoor;2019-07-01;77051;0;2019
indoor;2019-07-01;77053;1215;2019
indoor;2019-07-01;77054;59259570;2019
indoor;2019-07-01;77055;264932;2019
indoor;2019-07-01;77056;2472601;2019
indoor;2019-07-01;77057;809687;2019
indoor;2019-07-01;77058;15383007;2019
indoor;2019-07-01;77059;59414;2019
indoor;2019-07-01;77060;32276;2019
indoor;2019-07-01;77061;13226;2019
indoor;2019-07-01;77062;26381;2019
indoor;2019-07-01;77063;334454;2019
indoor;2019-07-01;77064;301757;2019
indoor;2019-07-01;77065;1196248;2019
indoor;2019-07-01;77066;188681;2019
indoor;2019-07-01;77067;13573;2019
indoor;2019-07-01;77068;87850;2019
indoor;2019-07-01;77069;36007;2019
indoor;2019-07-01;77070;1592157;2019
indoor;2019-07-01;77071;8432;2019
indoor;2019-07-01;77072;42513;2019
indoor;2019-07-01;77073;26044;2019
indoor;2019-07-01;77074;450147;2019
indoor;2019-07-01;77075;40608;2019
indoor;2019-07-01;77076;6088;2019
indoor;2019-07-01;77077;447507;2019
indoor;2019-07-01;77078;4421;2019
indoor;2019-07-01;77079;370148;2019
indoor;2019-07-01;77080;136159;2019
indoor;2019-07-01;77081;71431;2019
indoor;2019-07-01;77082;249144;2019
indoor;2019-07-01;77083;163087;2019
indoor;2019-07-01;77084;2213707;2019
indoor;2019-07-01;77085;162;2019
indoor;2019-07-01;77086;1496;2019
indoor;2019-07-01;77087;39350;2019
indoor;2019-07-01;77088;7624;2019
indoor;2019-07-01;77089;163673;2019
indoor;2019-07-01;77090;342876;2019
indoor;2019-07-01;77091;599;2019
indoor;2019-07-01;77092;221503;2019
indoor;2019-07-01;77093;4802;2019
indoor;2019-07-01;77094;23241;2019
indoor;2019-07-01;77095;491943;2019
indoor;2019-07-01;77096;290054;2019
indoor;2019-07-01;77098;266117;2019
indoor;2019-07-01;77099;1250117;2019
indoor;2019-08-01;77002;69202109;2019
indoor;2019-08-01;77003;338287;2019
indoor;2019-08-01;77004;1594780;2019
indoor;2019-08-01;77005;5064821;2019
indoor;2019-08-01;77006;788796;2019
indoor;2019-08-01;77007;587735;2019
indoor;2019-08-01;77008;536459;2019
indoor;2019-08-01;77009;96499;2019
indoor;2019-08-01;77010;0;2019
indoor;2019-08-01;77011;0;2019
indoor;2019-08-01;77012;19441;2019
indoor;2019-08-01;77013;17;2019
indoor;2019-08-01;77014;110128;2019
indoor;2019-08-01;77015;76661;2019
indoor;2019-08-01;77016;1045;2019
indoor;2019-08-01;77017;9232;2019
indoor;2019-08-01;77018;226598;2019
indoor;2019-08-01;77019;1493042;2019
indoor;2019-08-01;77020;28471;2019
indoor;2019-08-01;77021;8148;2019
